t,xi_err_norm,manipulability_w,damping_lambda
0.600000,0.00740458,0.00062297,0.04876182
0.605000,0.00751561,0.00065332,0.04870190
0.610000,0.00762444,0.00068549,0.04863841
0.615000,0.00773087,0.00071959,0.04857118
0.620000,0.00783471,0.00075571,0.04849999
0.625000,0.00793576,0.00079397,0.04842467
0.630000,0.00803383,0.00083446,0.04834501
0.635000,0.00812872,0.00087730,0.04826080
0.640000,0.00822026,0.00092259,0.04817185
0.645000,0.00830824,0.00097044,0.04807795
0.650000,0.00839248,0.00102098,0.04797889
0.655000,0.00847282,0.00107431,0.04787446
0.660000,0.00854906,0.00113055,0.04776447
0.665000,0.00862106,0.00118980,0.04764870
0.670000,0.00868864,0.00125219,0.04752697
0.675000,0.00875167,0.00131783,0.04739908
0.680000,0.00880999,0.00138681,0.04726485
0.685000,0.00886350,0.00145925,0.04712409
0.690000,0.00891206,0.00153525,0.04697665
0.695000,0.00895559,0.00161490,0.04682236
0.700000,0.00899398,0.00169831,0.04666107
0.705000,0.00902717,0.00178556,0.04649265
0.710000,0.00905510,0.00187673,0.04631699
0.715000,0.00907771,0.00197190,0.04613397
0.720000,0.00909499,0.00207114,0.04594351
0.725000,0.00910692,0.00217452,0.04574553
0.730000,0.00911350,0.00228209,0.04553997
0.735000,0.00911474,0.00239391,0.04532680
0.740000,0.00911070,0.00251001,0.04510599
0.745000,0.00910140,0.00263042,0.04487754
0.750000,0.00908692,0.00275518,0.04464146
0.755000,0.00906733,0.00288430,0.04439778
0.760000,0.00904273,0.00301780,0.04414654
0.765000,0.00901321,0.00315567,0.04388782
0.770000,0.00897889,0.00329791,0.04362170
0.775000,0.00893989,0.00344452,0.04334826
0.780000,0.00889636,0.00359546,0.04306762
0.785000,0.00884843,0.00375072,0.04277991
0.790000,0.00879625,0.00391027,0.04248527
0.795000,0.00873999,0.00407406,0.04218384
0.800000,0.00867980,0.00424206,0.04187579
0.805000,0.00861586,0.00441421,0.04156129
0.810000,0.00854834,0.00459046,0.04124052
0.815000,0.00847741,0.00477076,0.04091368
0.820000,0.00840325,0.00495505,0.04058095
0.825000,0.00832603,0.00514325,0.04024255
0.830000,0.00824595,0.00533531,0.03989869
0.835000,0.00816316,0.00553115,0.03954958
0.840000,0.00807786,0.00573069,0.03919543
0.845000,0.00799022,0.00593387,0.03883647
0.850000,0.00790041,0.00614061,0.03847293
0.855000,0.00780859,0.00635082,0.03810502
0.860000,0.00771495,0.00656444,0.03773296
0.865000,0.00761963,0.00678137,0.03735700
0.870000,0.00752280,0.00700155,0.03697734
0.875000,0.00742462,0.00722488,0.03659421
0.880000,0.00732524,0.00745130,0.03620783
0.885000,0.00722480,0.00768072,0.03581843
0.890000,0.00712344,0.00791306,0.03542621
0.895000,0.00702130,0.00814824,0.03503140
0.900000,0.00691852,0.00838618,0.03463419
0.905000,0.00681521,0.00862681,0.03423481
0.910000,0.00671150,0.00887005,0.03383345
0.915000,0.00660750,0.00911583,0.03343031
0.920000,0.00650333,0.00936407,0.03302558
